title,author,link,home,rss,date,timestamp
éƒ¨ĺˆ†ĺ˝•éŸłć•°ćŽĺ†ćŹĄä¸˘ĺ¤ą,yzqzss|ä¸€ĺş§ćĄĽĺœ¨ć°´ä¸Šâ€™s Blog,https://blog.othing.xyz/archives/relost-voice-recording-data.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2022-09-15,1663235580.0
čŽ°ĺ˝•äşşç”Ÿçš„ĺ°čŻ•äš‹äşŒ,yzqzss|ä¸€ĺş§ćĄĽĺœ¨ć°´ä¸Šâ€™s Blog,https://blog.othing.xyz/archives/2022-record-activities-on-calendar.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2022-07-23,1658562900.0
ă€Œĺ†œć‘ĺˆä˝œĺŸşé‡‘äźšă€â€”â€”ć”šéŠĺź€ć”žć—śćœŸçš„â€œĺŽżäšĄé“śčĄŒâ€,yzqzss|ä¸€ĺş§ćĄĽĺœ¨ć°´ä¸Šâ€™s Blog,https://blog.othing.xyz/archives/ns-cy-jk-ji-he-zo-ue.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2022-07-12,1657628700.0
别人说俺是英雄——记一次造永动机的尝试,yzqzss|一座桥在水上’s Blog,https://blog.othing.xyz/archives/2022-free-energy-memory.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2022-06-05,1654424183.0
č‡Şç„śă€ç§‘ćŠ€ĺ’Œćˆ‘äťŹ,yzqzss|ä¸€ĺş§ćĄĽĺœ¨ć°´ä¸Šâ€™s Blog,https://blog.othing.xyz/archives/2022-nature-with-us.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2022-05-15,1652634180.0
ä¸­ć–‡ç‹ŹçŤ‹ĺšĺŽ˘çš„ĺš´ĺŒ–â€œč…çƒ‚çŽ‡â€â€”â€”8%,yzqzss|ä¸€ĺş§ćĄĽĺœ¨ć°´ä¸Šâ€™s Blog,https://blog.othing.xyz/archives/chinese-independent-blogs-link-rot-2022.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2022-02-05,1644064560.0
假拼穷与真贫穷,yzqzss|一座桥在水上’s Blog,https://blog.othing.xyz/archives/poor-2021-09-15.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2021-11-13,1636817160.0
é‡ĺťşć—§ĺŽ…ďźŒć­ťäş†äşşâ€”â€”ć— ĺ¸¸çš„ć—Ľĺ¸¸,yzqzss|ä¸€ĺş§ćĄĽĺœ¨ć°´ä¸Šâ€™s Blog,https://blog.othing.xyz/archives/rebuild-the-old-house.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2021-10-04,1633344360.0
ć”śĺˆ°ä¸€ä˝ĺšä¸ťçš„çş˘ĺŒ,yzqzss|ä¸€ĺş§ćĄĽĺœ¨ć°´ä¸Šâ€™s Blog,https://blog.othing.xyz/archives/red-envelope-and-saveweb.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2021-10-03,1633286160.0
花呗,yzqzss|一座桥在水上’s Blog,https://blog.othing.xyz/archives/ant-huabei.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2021-09-25,1632545040.0
最强水冷方案,yzqzss|一座桥在水上’s Blog,https://blog.othing.xyz/archives/best-water-colding.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2021-08-28,1630123020.0
Win11会重蹈覆辙？,yzqzss|一座桥在水上’s Blog,https://blog.othing.xyz/archives/win11-will-failure.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2021-07-07,1625684700.0
部分录音数据丢失,yzqzss|一座桥在水上’s Blog,https://blog.othing.xyz/archives/records-data-lost.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2021-06-28,1624874640.0
让低配电脑流畅运行 Firefox 的5大方法,yzqzss|一座桥在水上’s Blog,https://blog.othing.xyz/archives/make-firefox-faaaast.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2021-06-12,1623498600.0
播客走入大众视线是好事,yzqzss|一座桥在水上's Blog,https://blog.othing.xyz/archives/normal_podcast.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2021-03-07,1615141440.0
[声冻计划]引子,yzqzss|一座桥在水上’s Blog,https://blog.othing.xyz/archives/freeze_wave_project_start.html,https://blog.othing.xyz/,https://blog.othing.xyz/feed,2021-02-04,1612434840.0
